hb,winter_mortality_increase,winter_target_wait_time_overshoot_increase,winter_beds_increase
S08000015,13.700000000000045,504.4095238095239,56.81095715878337
S08000016,20.69999999999999,362.7416666666667,21.442650103519668
S08000017,31.80000000000001,291.53777777777776,27.883232468015137
S08000019,72.89999999999998,852.5674603174604,55.77674523544084
S08000020,95.89999999999998,270.9449275362319,112.30926102882631
S08000022,30.600000000000023,58.454492753623185,41.678852789722384
S08000024,72.60000000000002,1480.1135430916552,156.29152200456542
S08000025,3.8000000000000007,37.10317460317461,5.170680044593091
S08000026,7.399999999999999,31.54761904761905,2.942559855603335
S08000028,2.299999999999997,7.288359788359788,10.49981154111589
S08000029,7.300000000000011,340.54365079365084,62.00679779158031
S08000030,52.60000000000002,116.99166666666667,65.76264798003933
S08000031,132.79999999999995,954.3252623083131,262.4164569729787
S08000032,32.200000000000045,1766.8410774410772,99.00221372830072
