area_name,week_ending,count,average_2018_2019
Scotland,05 Jan 20,11993,12344
Scotland,12 Jan 20,11887,12319.5
Scotland,19 Jan 20,11745,11977
Scotland,26 Jan 20,11847,12243.5
Scotland,02 Feb 20,11764,12288
Scotland,09 Feb 20,11562,12341
Scotland,16 Feb 20,11576,12295
Scotland,23 Feb 20,11888,12266
Scotland,01 Mar 20,11925,11501.5
Scotland,08 Mar 20,11909,12545
Scotland,15 Mar 20,10886,12230.5
Scotland,22 Mar 20,8300,12267.5
Scotland,29 Mar 20,7193,12054
Scotland,05 Apr 20,7528,12035.5
Scotland,12 Apr 20,7363,11745.5
Scotland,19 Apr 20,7298,11850.5
Scotland,26 Apr 20,8095,11705.5
Scotland,03 May 20,9144,11818
Scotland,10 May 20,8981,11693
Scotland,17 May 20,9029,11926
Scotland,24 May 20,9481,11926.5
Scotland,31 May 20,9462,11845
Scotland,07 Jun 20,9890,11697.5
Scotland,14 Jun 20,9882,11804.5
Scotland,21 Jun 20,10231,11812
Scotland,28 Jun 20,10189,11720.5
Scotland,05 Jul 20,10004,11636
Scotland,12 Jul 20,10016,11507
Scotland,19 Jul 20,10513,11401
Scotland,26 Jul 20,10478,11572
Scotland,02 Aug 20,10558,11430
Scotland,09 Aug 20,10487,11473
Scotland,16 Aug 20,10779,11766
Scotland,23 Aug 20,11288,11913.5
Scotland,30 Aug 20,11227,12079.5
Scotland,06 Sep 20,11101,11843.5
Scotland,13 Sep 20,11170,11871.5
Scotland,20 Sep 20,10917,12088
Scotland,27 Sep 20,10583,11993.5
Scotland,04 Oct 20,10561,12257.5
Scotland,11 Oct 20,10898,12225
Scotland,18 Oct 20,10263,11674
Scotland,25 Oct 20,10741,11747
Scotland,01 Nov 20,10301,11972
Scotland,08 Nov 20,10179,12458.5
Scotland,15 Nov 20,10485,12634.5
Scotland,22 Nov 20,10381,12332.5
Scotland,29 Nov 20,10187,12379.5
Scotland,06 Dec 20,9996,12379
Scotland,13 Dec 20,10255,12219.5
Scotland,20 Dec 20,10097,12878.5
Scotland,27 Dec 20,9158,11992
Scotland,03 Jan 21,10078,11992
Scotland,10 Jan 21,9960,12344
Scotland,17 Jan 21,9659,12319.5
Scotland,24 Jan 21,9839,11977
Scotland,31 Jan 21,9780,12243.5
Scotland,07 Feb 21,9796,12288
Scotland,14 Feb 21,9254,12341
Scotland,21 Feb 21,10583,12295
Scotland,28 Feb 21,10244,12266
Scotland,07 Mar 21,10164,11501.5
Scotland,14 Mar 21,10598,12545
Scotland,21 Mar 21,10735,12230.5
Scotland,28 Mar 21,10815,12267.5
Scotland,04 Apr 21,11087,12054
Scotland,11 Apr 21,10746,12035.5
Scotland,18 Apr 21,11022,11745.5
Scotland,25 Apr 21,11228,11850.5
Scotland,02 May 21,11339,11705.5
Scotland,09 May 21,11267,11818
Scotland,16 May 21,11767,11693
Scotland,23 May 21,11507,11926
Scotland,30 May 21,11685,11926.5
Scotland,06 Jun 21,11666,11845
Scotland,13 Jun 21,11938,11697.5
Scotland,20 Jun 21,11754,11804.5
Scotland,27 Jun 21,11509,11812
Scotland,04 Jul 21,11589,11720.5
Scotland,11 Jul 21,11351,11636
Scotland,18 Jul 21,11015,11507
Scotland,25 Jul 21,11197,11401
Scotland,01 Aug 21,11134,11572
Scotland,08 Aug 21,11053,11430
Scotland,15 Aug 21,11146,11473
Scotland,22 Aug 21,11594,11766
Scotland,29 Aug 21,11460,11913.5
Scotland,05 Sep 21,11498,12079.5
Scotland,12 Sep 21,11824,11843.5
Scotland,19 Sep 21,11575,11871.5
Scotland,26 Sep 21,11224,12088
Scotland,03 Oct 21,11307,11993.5
Scotland,10 Oct 21,11728,12257.5
Scotland,17 Oct 21,11409,12225
Scotland,24 Oct 21,11596,11674
Scotland,31 Oct 21,11566,11747
Scotland,07 Nov 21,11895,11972
Scotland,14 Nov 21,11984,12458.5
Scotland,21 Nov 21,11681,12634.5
Scotland,28 Nov 21,11542,12332.5
Scotland,05 Dec 21,11714,12379.5
Scotland,12 Dec 21,11408,12379
Scotland,19 Dec 21,10990,12219.5
Scotland,26 Dec 21,10542,12878.5
Scotland,02 Jan 22,11091,11992
Scotland,09 Jan 22,10371,12344
Scotland,16 Jan 22,10493,12319.5
Scotland,23 Jan 22,10763,11977
Scotland,30 Jan 22,11292,12243.5
Scotland,06 Feb 22,11234,12288
Scotland,13 Feb 22,11152,12341
Scotland,20 Feb 22,11026,12295
Scotland,27 Feb 22,11106,12266
Scotland,06 Mar 22,10973,11501.5
Scotland,13 Mar 22,11001,12545
Scotland,20 Mar 22,10848,12230.5
Scotland,27 Mar 22,10412,12267.5
