code,name,type,active,date_start,date_end
S08000006,Grampian,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000010,Lothian,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000013,Tayside,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000029,Fife,hb,True,2018-02-02T00:00:00,
S08000017,Dumfries and Galloway,hb,True,2014-04-01T00:00:00,
S08000020,Grampian,hb,True,2014-04-01T00:00:00,
S08000021,Greater Glasgow and Clyde,hb,False,2014-04-01T00:00:00,2019-03-31T00:00:00
S08000026,Shetland,hb,True,2014-04-01T00:00:00,
S08000011,Orkney,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000003,Dumfries and Galloway,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000001,Ayrshire and Arran,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000002,Borders,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000005,Forth Valley,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000008,Highland,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000014,Western Isles,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000032,Lanarkshire,hb,True,2019-04-01T00:00:00,
S08000030,Tayside,hb,True,2018-02-02T00:00:00,
S08000022,Highland,hb,True,2014-04-01T00:00:00,
S08000023,Lanarkshire,hb,False,2014-04-01T00:00:00,2019-03-31T00:00:00
S08000024,Lothian,hb,True,2014-04-01T00:00:00,
S08000028,Western Isles,hb,True,2014-04-01T00:00:00,
S08000031,Greater Glasgow and Clyde,hb,True,2019-04-01T00:00:00,
S08000004,Fife,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000019,Forth Valley,hb,True,2014-04-01T00:00:00,
S08000025,Orkney,hb,True,2014-04-01T00:00:00,
S08000009,Lanarkshire,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000018,Fife,hb,False,2014-04-01T00:00:00,2018-02-01T00:00:00
S08000007,Greater Glasgow and Clyde,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000012,Shetland,hb,False,2006-04-01T00:00:00,2014-03-31T00:00:00
S08000015,Ayrshire and Arran,hb,True,2014-04-01T00:00:00,
S08000016,Borders,hb,True,2014-04-01T00:00:00,
S08000027,Tayside,hb,False,2014-04-01T00:00:00,2018-02-01T00:00:00
