_id,TimePeriod,HBT,SubGroup,NumberOfDeaths,NumberOfDeathsQF,NumberOfPatients,NumberOfPatientsQF,CrudeRate
1,2016Q3,S92000003,All Admissions,6159,d,229272,d,2.68632890191563
2,2016Q3,S08000015,All Admissions,462,"",16554,"",2.79086625588981
3,2016Q3,S08000016,All Admissions,140,"",4150,"",3.37349397590361
4,2016Q3,S08000017,All Admissions,179,"",7314,"",2.44736122504785
5,2016Q3,S08000019,All Admissions,304,"",8567,"",3.54850005836349
6,2016Q3,S08000020,All Admissions,550,"",21625,"",2.54335260115607
7,2016Q3,S08000022,All Admissions,304,"",10173,"",2.98830236901602
8,2016Q3,S08000024,All Admissions,845,"",29757,"",2.83966797728266
9,2016Q3,S08000025,All Admissions,26,"",767,"",3.38983050847458
10,2016Q3,S08000026,All Admissions,20,"",908,"",2.20264317180617
11,2016Q3,S08000028,All Admissions,26,"",1246,"",2.08667736757624
12,2016Q3,S08000029,All Admissions,404,"",11458,"",3.5259207540583
13,2016Q3,S08000030,All Admissions,543,"",16078,"",3.37728573205623
14,2016Q3,S08000031,All Admissions,1486,"",68805,"",2.15972676404331
15,2016Q3,S08000032,All Admissions,682,"",25950,"",2.6281310211946
16,2016Q3,SB0801,All Admissions,29,"",5048,"",0.574484944532488
17,2016Q4,S92000003,All Admissions,7114,d,231293,d,3.07575240063469
18,2016Q4,S08000015,All Admissions,559,"",16972,"",3.29366014612303
19,2016Q4,S08000016,All Admissions,156,"",4398,"",3.54706684856753
20,2016Q4,S08000017,All Admissions,253,"",7203,"",3.51242537831459
21,2016Q4,S08000019,All Admissions,365,"",8899,"",4.10158444769075
22,2016Q4,S08000020,All Admissions,588,"",21888,"",2.68640350877193
23,2016Q4,S08000022,All Admissions,367,"",9720,"",3.77572016460905
24,2016Q4,S08000024,All Admissions,922,"",30028,"",3.0704675636073
25,2016Q4,S08000025,All Admissions,24,"",733,"",3.27421555252387
26,2016Q4,S08000026,All Admissions,31,"",878,"",3.53075170842825
27,2016Q4,S08000028,All Admissions,37,"",1223,"",3.02534750613246
28,2016Q4,S08000029,All Admissions,475,"",11422,"",4.15864121870075
29,2016Q4,S08000030,All Admissions,637,"",16764,"",3.79980911476975
30,2016Q4,S08000031,All Admissions,1676,"",69215,"",2.42144043921115
31,2016Q4,S08000032,All Admissions,844,"",26389,"",3.19830232293759
32,2016Q4,SB0801,All Admissions,30,"",4901,"",0.612119975515201
33,2017Q1,S92000003,All Admissions,7150,d,231344,d,3.09063559028978
34,2017Q1,S08000015,All Admissions,544,"",17141,"",3.17367714835774
35,2017Q1,S08000016,All Admissions,166,"",4103,"",4.04582013161102
36,2017Q1,S08000017,All Admissions,253,"",7419,"",3.41016309475671
37,2017Q1,S08000019,All Admissions,304,"",9204,"",3.30291177748805
38,2017Q1,S08000020,All Admissions,652,"",21269,"",3.06549438149419
39,2017Q1,S08000022,All Admissions,342,"",9727,"",3.51598642952606
40,2017Q1,S08000024,All Admissions,914,"",30074,"",3.03917004721687
41,2017Q1,S08000025,All Admissions,38,"",742,"",5.12129380053908
42,2017Q1,S08000026,All Admissions,19,"",917,"",2.07197382769902
43,2017Q1,S08000028,All Admissions,30,"",1267,"",2.36779794790844
44,2017Q1,S08000029,All Admissions,482,"",11526,"",4.18184973104286
45,2017Q1,S08000030,All Admissions,597,"",16572,"",3.60246198406951
46,2017Q1,S08000031,All Admissions,1727,"",68127,"",2.53497145037944
47,2017Q1,S08000032,All Admissions,868,"",26534,"",3.27127459109068
48,2017Q1,SB0801,All Admissions,26,"",5132,"",0.506625097427903
49,2017Q2,S92000003,All Admissions,6367,d,227265,d,2.80157525355862
50,2017Q2,S08000015,All Admissions,451,"",16653,"",2.70822074100763
51,2017Q2,S08000016,All Admissions,151,"",4257,"",3.5470988959361
