_id,TimePeriod,LocationCode,SubGroup,NumberOfDeaths,NumberOfDeathsQF,NumberOfPatients,NumberOfPatientsQF,CrudeRate
1,2016Q3,A101H,All Admissions,5,"",104,"",4.80769230769231
2,2016Q3,A111H,All Admissions,266,"",9919,"",2.68172194777699
3,2016Q3,A210H,All Admissions,184,"",6422,"",2.8651510432887
4,2016Q3,B120H,All Admissions,140,"",4150,"",3.37349397590361
5,2016Q3,Y144H,All Admissions,26,"",599,"",4.34056761268781
6,2016Q3,Y146H,All Admissions,146,"",6669,"",2.18923376818114
7,2016Q3,V217H,All Admissions,304,"",8194,"",3.71003173053454
8,2016Q3,N101H,All Admissions,376,"",14173,"",2.65293163056516
9,2016Q3,N411H,All Admissions,89,"",2855,"",3.11733800350263
10,2016Q3,C121H,All Admissions,29,"",579,"",5.00863557858376
11,2016Q3,H103H,All Admissions,24,"",817,"",2.937576499388
12,2016Q3,H202H,All Admissions,161,"",7260,"",2.21763085399449
13,2016Q3,H212H,All Admissions,14,"",479,"",2.92275574112735
14,2016Q3,S116H,All Admissions,224,"",6810,"",3.28928046989721
15,2016Q3,S308H,All Admissions,148,"",7113,"",2.08069731477576
16,2016Q3,S314H,All Admissions,370,"",11450,"",3.23144104803493
17,2016Q3,R103H,All Admissions,26,"",767,"",3.38983050847458
18,2016Q3,Z102H,All Admissions,20,"",908,"",2.20264317180617
19,2016Q3,W107H,All Admissions,19,"",1088,"",1.74632352941176
20,2016Q3,F704H,All Admissions,380,"",8746,"",4.34484335696318
21,2016Q3,T101H,All Admissions,347,"",11824,"",2.93470906630582
22,2016Q3,T202H,All Admissions,137,"",3030,"",4.52145214521452
23,2016Q3,T312H,All Admissions,1,"",1045,"",0.0956937799043062
24,2016Q3,C313H,All Admissions,153,"",4562,"",3.35379219640509
25,2016Q3,C418H,All Admissions,315,"",11711,"",2.68977884040646
26,2016Q3,G107H,All Admissions,381,"",18943,"",2.01129704904186
27,2016Q3,G405H,All Admissions,633,"",28324,"",2.23485383420421
28,2016Q3,L106H,All Admissions,229,"",8322,"",2.75174236962269
29,2016Q3,L302H,All Admissions,206,"",7350,"",2.80272108843537
30,2016Q3,L308H,All Admissions,247,"",10278,"",2.40319128235065
31,2016Q3,D102H,All Admissions,29,"",5048,"",0.574484944532488
32,2016Q4,A101H,All Admissions,6,"",97,"",6.18556701030928
33,2016Q4,A111H,All Admissions,315,"",10282,"",3.06360630227582
34,2016Q4,A210H,All Admissions,229,"",6486,"",3.53068146777675
35,2016Q4,B120H,All Admissions,156,"",4398,"",3.54706684856753
36,2016Q4,Y144H,All Admissions,28,"",586,"",4.77815699658703
37,2016Q4,Y146H,All Admissions,207,"",6549,"",3.16078790655062
38,2016Q4,V217H,All Admissions,364,"",8486,"",4.28941786471836
39,2016Q4,N101H,All Admissions,412,"",14109,"",2.92012190800198
40,2016Q4,N411H,All Admissions,88,"",2948,"",2.98507462686567
41,2016Q4,C121H,All Admissions,36,"",583,"",6.17495711835334
42,2016Q4,H103H,All Admissions,37,"",789,"",4.6894803548796
43,2016Q4,H202H,All Admissions,192,"",6950,"",2.76258992805755
44,2016Q4,H212H,All Admissions,22,"",420,"",5.23809523809524
45,2016Q4,S116H,All Admissions,229,"",6930,"",3.3044733044733
46,2016Q4,S308H,All Admissions,196,"",7547,"",2.59705843381476
47,2016Q4,S314H,All Admissions,393,"",11086,"",3.54501172650189
48,2016Q4,R103H,All Admissions,24,"",733,"",3.27421555252387
49,2016Q4,Z102H,All Admissions,31,"",878,"",3.53075170842825
50,2016Q4,W107H,All Admissions,32,"",1059,"",3.02171860245515
51,2016Q4,F704H,All Admissions,445,"",8758,"",5.0810687371546
52,2016Q4,T101H,All Admissions,451,"",12646,"",3.56634508935632
53,2016Q4,T202H,All Admissions,135,"",2968,"",4.54851752021563
54,2016Q4,T312H,All Admissions,4,"",966,"",0.41407867494824
55,2016Q4,C313H,All Admissions,158,"",4507,"",3.50565786554249
56,2016Q4,C418H,All Admissions,371,"",12349,"",3.00429184549356
57,2016Q4,G107H,All Admissions,419,"",19023,"",2.20259685643694
58,2016Q4,G405H,All Admissions,722,"",28017,"",2.5770068172895
59,2016Q4,L106H,All Admissions,290,"",8088,"",3.58555885262117
60,2016Q4,L302H,All Admissions,262,"",7501,"",3.49286761765098
61,2016Q4,L308H,All Admissions,292,"",10800,"",2.7037037037037
62,2016Q4,D102H,All Admissions,30,"",4901,"",0.612119975515201
63,2017Q1,A101H,All Admissions,8,"",94,"",8.51063829787234
64,2017Q1,A111H,All Admissions,314,"",10146,"",3.09481569091268
65,2017Q1,A210H,All Admissions,216,"",6784,"",3.18396226415094
66,2017Q1,B120H,All Admissions,166,"",4103,"",4.04582013161102
67,2017Q1,Y144H,All Admissions,30,"",592,"",5.06756756756757
68,2017Q1,Y146H,All Admissions,210,"",6755,"",3.10880829015544
69,2017Q1,V217H,All Admissions,302,"",8799,"",3.4322082054779
70,2017Q1,N101H,All Admissions,458,"",13569,"",3.37534085046798
71,2017Q1,N411H,All Admissions,95,"",3011,"",3.15509797409499
72,2017Q1,C121H,All Admissions,16,"",580,"",2.75862068965517
73,2017Q1,H103H,All Admissions,40,"",772,"",5.18134715025907
74,2017Q1,H202H,All Admissions,182,"",6949,"",2.61908188228522
75,2017Q1,H212H,All Admissions,25,"",422,"",5.92417061611374
76,2017Q1,S116H,All Admissions,251,"",6988,"",3.59187178019462
77,2017Q1,S308H,All Admissions,166,"",7306,"",2.27210511908021
78,2017Q1,S314H,All Admissions,406,"",11400,"",3.56140350877193
79,2017Q1,R103H,All Admissions,38,"",742,"",5.12129380053908
