WeekEnding,HB,HBQF,SIMDQuintile,AdmissionType,AdmissionTypeQF,NumberAdmissions,Average20182019,PercentVariation
20200105,S08000015,,1,All,d,368,396,-7.1
20200105,S08000015,,2,All,d,249,275,-9.5
20200105,S08000015,,3,All,d,167,165.5,0.9
20200105,S08000015,,4,All,d,120,123,-2.4
20200105,S08000015,,5,All,d,78,115,-32.2
20200105,S08000016,,1,All,d,22,25.5,-13.7
20200105,S08000016,,2,All,d,57,51,11.8
20200105,S08000016,,3,All,d,97,101,-4
20200105,S08000016,,4,All,d,83,72,15.3
20200105,S08000016,,5,All,d,10,16.5,-39.4
20200105,S08000017,,1,All,d,44,47,-6.4
20200105,S08000017,,2,All,d,123,120.5,2.1
20200105,S08000017,,3,All,d,130,141,-7.8
20200105,S08000017,,4,All,d,54,49,10.2
20200105,S08000017,,5,All,d,35,29.5,18.6
20200105,S08000019,,1,All,d,183,330.5,-44.6
20200105,S08000019,,2,All,d,201,334.5,-39.9
20200105,S08000019,,3,All,d,141,308.5,-54.3
20200105,S08000019,,4,All,d,124,211.5,-41.4
20200105,S08000019,,5,All,d,110,197.5,-44.3
20200105,S08000020,,1,All,d,93,91.5,1.6
20200105,S08000020,,2,All,d,227,226.5,0.2
20200105,S08000020,,3,All,d,281,257.5,9.1
20200105,S08000020,,4,All,d,301,315.5,-4.6
20200105,S08000020,,5,All,d,256,254.5,0.6
20200105,S08000022,,1,All,d,91,94.5,-3.7
20200105,S08000022,,2,All,d,126,143.5,-12.2
20200105,S08000022,,3,All,d,262,242.5,8
20200105,S08000022,,4,All,d,207,163,27
20200105,S08000022,,5,All,d,39,46,-15.2
20200105,S08000024,,1,All,d,361,332.5,8.6
20200105,S08000024,,2,All,d,557,496.5,12.2
20200105,S08000024,,3,All,d,421,315,33.7
20200105,S08000024,,4,All,d,366,329.5,11.1
20200105,S08000024,,5,All,d,456,393,16
20200105,S08000025,,3,All,d,10,6.5,53.8
20200105,S08000025,,4,All,d,24,22,9.1
20200105,S08000026,,3,All,d,6,15.5,-61.3
20200105,S08000026,,4,All,d,19,18,5.6
20200105,S08000028,,2,All,d,8,17,-52.9
20200105,S08000028,,3,All,d,56,64.5,-13.2
20200105,S08000029,,1,All,d,243,255,-4.7
20200105,S08000029,,2,All,d,222,223,-0.4
20200105,S08000029,,3,All,d,176,165,6.7
20200105,S08000029,,4,All,d,156,140,11.4
20200105,S08000029,,5,All,d,112,117.5,-4.7
20200105,S08000030,,1,All,d,252,258,-2.3
20200105,S08000030,,2,All,d,226,246.5,-8.3
20200105,S08000030,,3,All,d,193,223,-13.5
20200105,S08000030,,4,All,d,271,259,4.6
20200105,S08000030,,5,All,d,189,180.5,4.7
20200105,S08000031,,1,All,d,1410,1516.5,-7
20200105,S08000031,,2,All,d,745,723,3
20200105,S08000031,,3,All,d,527,498.5,5.7
20200105,S08000031,,4,All,d,402,448,-10.3
20200105,S08000031,,5,All,d,468,479,-2.3
20200105,S08000032,,1,All,d,564,553,2
20200105,S08000032,,2,All,d,451,467,-3.4
20200105,S08000032,,3,All,d,290,288,0.7
20200105,S08000032,,4,All,d,197,199.5,-1.3
20200105,S08000032,,5,All,d,134,136.5,-1.8
20200105,S92000003,d,1,All,d,3632,3900.5,-6.9
20200105,S92000003,d,2,All,d,3199,3334.5,-4.1
20200105,S92000003,d,3,All,d,2757,2792,-1.3
20200105,S92000003,d,4,All,d,2325,2351.5,-1.1
20200105,S92000003,d,5,All,d,1887,1967,-4.1
20200112,S08000015,,1,All,d,448,419,6.9
20200112,S08000015,,2,All,d,264,284,-7
20200112,S08000015,,3,All,d,156,209.5,-25.5
20200112,S08000015,,4,All,d,117,141.5,-17.3
20200112,S08000015,,5,All,d,101,114.5,-11.8
20200112,S08000016,,1,All,d,14,14,0
20200112,S08000016,,2,All,d,50,60.5,-17.4
20200112,S08000016,,3,All,d,97,108,-10.2
20200112,S08000016,,4,All,d,63,66.5,-5.3
20200112,S08000016,,5,All,d,11,17.5,-37.1
20200112,S08000017,,1,All,d,44,58,-24.1
20200112,S08000017,,2,All,d,121,127.5,-5.1
20200112,S08000017,,3,All,d,172,180,-4.4
20200112,S08000017,,4,All,d,67,74.5,-10.1
20200112,S08000017,,5,All,d,41,31,32.3
20200112,S08000019,,1,All,d,202,296.5,-31.9
20200112,S08000019,,2,All,d,206,326,-36.8
20200112,S08000019,,3,All,d,143,285.5,-49.9
20200112,S08000019,,4,All,d,124,231.5,-46.4
20200112,S08000019,,5,All,d,126,175,-28
20200112,S08000020,,1,All,d,115,113,1.8
20200112,S08000020,,2,All,d,250,267,-6.4
20200112,S08000020,,3,All,d,314,300.5,4.5
20200112,S08000020,,4,All,d,372,383,-2.9
20200112,S08000020,,5,All,d,273,290.5,-6
20200112,S08000022,,1,All,d,105,91.5,14.8
20200112,S08000022,,2,All,d,151,148,2
20200112,S08000022,,3,All,d,266,272,-2.2
20200112,S08000022,,4,All,d,204,188.5,8.2
